epoch,loss_train,loss_eval,f1_train,f1_eval,duration
1,0.6936898829181343,0.5671578120926152,0.713712431693989,0.769808743169399,0:00:30.519466
2,0.5636297930133798,0.5452820257000303,0.7728825136612022,0.7800546448087432,0:00:30.014494
3,0.5305803683611865,0.5193178115979485,0.7907274590163934,0.7913251366120218,0:00:30.072000
4,0.5120939350193315,0.5027403974014781,0.795594262295082,0.7971311475409836,0:00:30.227731
5,0.49302375056053105,0.5064711570739745,0.8048155737704918,0.793032786885246,0:00:30.172716
6,0.4919776465397714,0.5193935269894808,0.8049863387978142,0.7872267759562842,0:00:30.146026
7,0.488205943765536,0.4964688498040904,0.8085724043715847,0.8019125683060109,0:00:30.218367
8,0.4789223553704432,0.4952923545370931,0.8082308743169399,0.798155737704918,0:00:30.162432
9,0.46948053944306295,0.5116787948038266,0.8130122950819673,0.7920081967213115,0:00:30.004075
10,0.45987291088521154,0.4933110093292983,0.818818306010929,0.8056693989071039,0:00:30.209758
11,0.4559801871496472,0.4977116636607959,0.8204405737704918,0.8002049180327869,0:00:29.858025
12,0.45185773164196735,0.5062968083049939,0.8195867486338798,0.7967896174863388,0:00:30.345957
13,0.44217773881114897,0.4962240580631339,0.8264173497267759,0.8005464480874317,0:00:30.003894
14,0.44837493355808367,0.5294039482655736,0.8256489071038251,0.7909836065573771,0:00:29.990922
15,0.4369792803063419,0.4989504937244499,0.827698087431694,0.8002049180327869,0:00:30.093387
16,0.4364336304814437,0.5093807688225871,0.8282103825136611,0.7978142076502732,0:00:29.748615
17,0.43720710578837696,0.5335106720095093,0.8241120218579235,0.789275956284153,0:00:30.202736
18,0.42367691453037365,0.5010512393453848,0.8313695355191257,0.799863387978142,0:00:30.252520
19,0.42251921221206734,0.5465654264325682,0.8341871584699454,0.7926912568306012,0:00:30.227088
20,0.4258036817032134,0.502175035684005,0.8331625683060109,0.8025956284153005,0:00:29.646808
21,0.40991965612101416,0.5247584160255349,0.8375170765027322,0.7974726775956285,0:00:29.921825
22,0.4175504025051503,0.507045998521473,0.8336748633879781,0.8015710382513661,0:00:30.050709
23,0.4184148683736884,0.5056856909523839,0.8351263661202186,0.7974726775956285,0:00:29.899771
24,0.4017701606607178,0.508874783049459,0.8406762295081968,0.8056693989071039,0:00:29.792332
25,0.40190613937508196,0.5104901246402576,0.8396516393442623,0.798155737704918,0:00:29.787789
